customer_id,event_month,event_seq,Monthly_GB_Download,Monthly_Long_Distance_Charges,Revenue,Extra_Data_Charges,Refunds
C00001,2025-11-01,1,16.2917,25.4379,69.9595,0.4224,0.1778
C00001,2025-11-02,2,16.6111,27.7446,69.7567,0.5364,0.0
C00001,2025-11-03,3,15.2741,25.576,68.4726,0.337,0.1475
C00001,2025-11-04,4,14.0885,22.8554,68.2736,0.3659,0.0
C00001,2025-11-05,5,13.3404,22.5436,66.3903,0.0115,0.255
C00001,2025-11-06,6,13.0901,21.5221,65.8932,0.3031,0.1313
C00001,2025-11-07,7,14.6155,24.5786,68.4124,0.5203,0.0525
C00001,2025-11-08,8,15.4837,26.4497,69.9264,0.6522,0.1221
C00001,2025-11-09,9,15.7809,25.0268,69.0026,0.4887,0.0
C00001,2025-11-10,10,14.3537,23.7701,67.9327,0.4943,0.0477
C00001,2025-11-11,11,12.9717,21.8946,66.0951,0.4117,0.1468
C00001,2025-11-12,12,12.2302,20.4679,66.2353,0.0143,0.0528
C00001,2025-11-13,13,12.8224,21.8703,66.0331,0.2445,0.215
C00001,2025-11-14,14,13.8581,22.7192,66.0059,0.2836,0.0137
C00001,2025-11-15,15,14.6158,26.0726,69.8593,0.4553,0.1494
C00001,2025-11-16,16,15.1456,26.4696,69.1092,0.4798,0.0063
C00001,2025-11-17,17,14.5223,23.8365,68.5323,0.5887,0.0598
C00001,2025-11-18,18,12.9551,23.5303,66.8164,0.1073,0.0
C00001,2025-11-19,19,12.1516,21.5697,66.7614,0.1075,0.0
C00001,2025-11-20,20,12.8925,22.9433,66.606,0.3476,0.2213
C00001,2025-11-21,21,14.0172,24.2693,68.7569,0.3633,0.0134
C00001,2025-11-22,22,16.0537,24.8705,69.8038,0.5053,0.2538
C00001,2025-11-23,23,16.7972,25.795,70.613,0.4488,0.2394
C00001,2025-11-24,24,16.1458,24.7708,70.2254,0.4847,0.0
C00001,2025-11-25,25,14.867,23.4387,69.2058,0.2655,0.0
C00001,2025-11-26,26,13.7941,21.1689,68.8132,0.2719,0.2111
C00001,2025-11-27,27,14.2489,21.7955,69.2189,0.3389,0.0
C00001,2025-11-28,28,15.7896,23.6917,70.5186,0.4457,0.0
C00001,2025-11-29,29,17.124,26.5925,70.7156,0.6561,0.0681
C00001,2025-11-30,30,17.2505,27.0288,72.4362,0.4569,0.0291
C00001,2025-12-01,31,17.1052,26.0124,70.595,0.4518,0.0
C00001,2025-12-02,32,15.0002,23.2853,69.3238,0.1574,0.0
C00001,2025-12-03,33,13.9371,22.6124,67.2026,0.2815,0.2209
C00001,2025-12-04,34,14.1551,22.0938,68.6757,0.0751,0.0
C00001,2025-12-05,35,16.067,24.5063,69.4535,0.4525,0.2026
